"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"IN 1356561",1356560,125203,98967,89517,3,7,7,936,13,14
"IN 1359988",1359987,83312,64708,63272,2,1,1,690,22,26
"IN 1361576",1361575,77030,48979,42498,1,1,1,407,5,6
"IN 1361952",1361951,54373,43564,42128,4,0,0,462,13,14
"IN 1363313",1363312,148196,114308,110252,2,3,3,953,41,46
"IN 1363317",1363316,133677,99570,96052,5,4,4,834,34,35
"IN 1363986",1363985,126826,68509,66179,2,1,1,935,19,21
"IN 1370474",1370473,99197,81405,76926,2,2,2,657,27,29
"IN 1371890",1345260,128791,86509,79237,1,1,1,742,39,43
"IN 1372019",1372018,67403,45168,42192,4,0,0,394,3,4
"IN 1373065",1373064,151950,116234,111139,3,4,4,1227,48,51
"IN 1375371",1375370,75452,61392,59912,1,1,1,534,16,18
"IN 1376078",1376077,285543,162295,150045,2,3,3,1259,26,28
"IN 1378782",1378781,157701,130611,126835,3,0,0,918,75,84
"IN 1381821",1381820,117887,94248,91695,4,7,7,1581,18,19
"IN 1384141",1384140,94933,77248,75302,1,2,2,870,21,24
"IN 1387675",1387674,70986,54397,52189,5,7,7,724,22,23
"IN 1398603",1398602,76856,58973,57646,0,4,4,443,13,16
"IN 1402737",1402736,59492,46376,45557,4,0,0,553,16,17
"IN 1411137",1411136,106967,85830,82120,4,2,2,1150,31,34
"IN 1411257",1411256,168040,125266,121655,5,1,1,1767,42,49
"IN 1412969",1412968,60095,50033,48729,2,1,1,686,14,16
"IN 1420279",1420278,60820,41832,39478,3,1,1,595,8,10
"IN 1421732",1421731,74514,60834,58391,0,4,4,644,15,16
"IN 1423091",1423090,105570,85076,82963,1,1,1,872,22,26
"IN 1426414",1426413,104453,83829,81719,1,5,5,811,41,42
"IN 1428522",1428521,64323,56080,55037,1,2,2,508,15,18
"IN 1429161",1429160,62259,47951,46748,5,0,0,563,17,19
"IN 1434210",1434209,70016,54191,52600,4,0,0,620,13,14
"IN 1436455",1436454,40533,34810,34123,5,0,0,440,14,15
"IN 1439415",1439414,103645,79237,75842,3,0,0,1067,18,21
"IN 1440757",1440756,68320,53650,50828,5,1,1,875,17,18
"IN 1440817",1440816,102557,81574,79051,8,11,11,993,23,25
"IN 1448245",1448244,102582,84801,83170,6,0,0,840,43,47
"IN 1449235",1449234,193834,116530,100150,2,3,3,1489,15,16
"IN 1450598",1450597,164569,124699,120646,1,2,2,1312,62,67
"IN 1453009",1453008,82970,58083,53551,0,3,3,589,14,15
"IN 1469435",1469434,83799,61516,60161,4,1,1,920,27,30
"IN 1470591",1470581,170050,104799,100146,2,2,2,857,32,34
"IN 1471314",1471313,62266,33362,24513,0,3,3,321,1,2
"IN 1471411",1471410,140582,87263,83188,2,1,1,849,30,33
"IN 1472420",1472419,84166,61000,57983,1,2,2,552,12,15
"IN 1474019",1474018,84658,53969,51555,1,2,2,451,20,22
"IN 1487502",1487501,66203,56423,55143,0,3,3,334,15,17
"IN 1544599",1544598,79344,57011,56033,3,1,1,647,13,14
"IN 1562483",1562482,106870,79238,75612,4,2,2,706,19,22
"IN 1563803",1563802,105244,88597,85839,1,5,5,607,44,51
"IN 1565600",1565599,102487,79310,75681,7,5,5,1082,24,26
"IN 1587974",1587973,56748,36443,33306,5,0,0,261,8,9
"IN 1588113",1588112,353013,189911,165174,4,0,0,1212,29,33
"IN 1601287",1601286,87355,56379,52702,1,2,2,755,10,11
"IN 1635417",1635416,120362,93884,87146,1,3,3,826,34,38
"IN 1639182",1639181,192502,122211,110517,1,3,3,1145,31,32
"IN 1646126",1646125,96000,59761,58114,2,2,2,816,24,26
"IN 1652655",1652654,128416,99908,96834,1,6,6,859,36,43
"IN 169575",169574,74472,40112,39074,8,2,2,632,13,14
"IN 1705566",1705565,131773,97930,94754,3,3,3,818,28,29
"IN 1741540",1741539,181215,137925,134754,15,2,2,1647,72,75
"IN 1784974",1784973,252789,157859,142654,2,5,5,922,53,56
"IN 1834161",1834160,135196,107186,104295,1,2,2,1003,35,41
"IN 1840170",1840169,55926,42904,41938,4,0,0,517,15,16
"IN 1841369",1841368,36010,29244,28758,6,0,0,347,9,10
"IN 1845176",1845175,84091,66966,63283,2,3,3,753,4,5
"IN 1968683",1968682,94114,69894,68475,8,0,0,936,20,23
"IN 2000979",2000978,124391,75219,72982,1,3,3,1028,30,32
"IN 2233439",2233438,177847,132562,129981,9,3,3,1670,42,44
"IN 354167",1729214,169727,134787,131149,1,3,3,777,46,56
"IN 386261",386260,186451,130789,125755,0,5,5,924,54,56
"IN 523875",523874,141955,116938,113657,5,3,3,657,40,46
"IN 57509",57508,191114,148485,145121,9,5,5,1537,65,67
"IN 584185",584184,190814,135288,130728,5,0,0,1213,50,51
"IN 672987",672986,113994,94051,91857,5,1,1,765,34,37
"IN 805977 immature",805976,131605,105004,102211,3,0,0,881,41,49
"IN 812241",812240,141735,107782,104485,4,0,0,810,44,48
"IN 813172 peptiderg",813171,219344,173133,168137,12,5,5,1492,64,71
"IN 813773",813772,124788,95499,93243,2,5,5,775,32,34
"IN 814652",814651,79508,57478,55821,1,1,1,413,21,24
"IN 854300",1342632,214713,165148,160295,10,10,10,1373,66,73
"IN 893805",893804,125402,98321,93763,3,4,4,863,43,47
"IN 896818",896817,155011,122456,119418,3,0,0,1046,52,58
"IN 957271",957270,79429,64659,63475,3,0,0,453,30,34
"IN cPRC_postsyn_IN3",401601,164825,136075,132908,9,1,1,1107,67,70
"IN FVa-right4_sigold",528241,150694,116307,114471,3,5,5,1456,44,46
"IN head",1287439,131957,84516,81108,1,1,1,742,24,27
"IN MIP 1129678",1129677,212558,147993,138361,7,1,1,1153,55,59
"IN negativeUturn1320939",1320938,269668,147268,133677,15,3,3,1450,41,42
"IN PDF-left1 target 111829",111828,139902,97829,86811,3,4,4,924,18,20
"IN r 1275769",1275768,122569,73319,61471,3,0,0,650,5,6
"IN r 1306907",1306906,107353,85742,82478,7,4,4,800,29,30
"IN r 1333781",1333780,98339,82380,79671,4,5,5,731,28,31
"IN straight 1293016",1293015,186322,141164,137418,2,1,1,1169,34,36
"IN trunk 1341303",1341302,82547,70516,68007,3,1,1,775,15,20
"IN VNC 1397341",1397340,50711,44518,43405,2,0,0,435,15,17
"IN weird 1347892",1347891,202627,140777,134828,1,5,5,1001,32,34
"IN with trunk soma 802200",802199,133611,74169,68920,6,1,1,946,20,22
"IN-1329885",1329884,147008,127600,125434,7,6,6,870,56,60
"IN-biaxonal_ipsi_l_VNC 1295407",1295406,194584,115985,111608,5,4,4,1365,37,38
"IN1al",22159,385494,261328,249323,59,25,25,2230,134,142
"IN1ar",34044,382363,289215,280473,67,33,33,2060,148,160
"IN1pl",32142,508565,387092,370311,130,41,41,3010,193,224
"IN1pr",37580,423892,319752,305946,114,20,20,2748,150,162
"IN_closetoMC3",854770,194972,146031,139912,8,0,0,1340,52,56
"IN_FMRFa-_right5_withSoma",85723,215984,121777,108926,2,1,1,1405,33,35
"IN_l 1271738",1271737,62676,50157,48316,3,3,3,526,11,13
"IN_NOSdl",1317111,348906,267686,260939,24,20,20,2479,134,144
"IN_NOSdr",257885,430482,290451,276024,28,24,24,2807,138,144
"IN_NOSvl",1292458,272877,213637,206277,13,30,30,1931,101,108
"IN_NOSvr",313716,301535,224067,216376,15,36,36,2243,101,108
