,x
1319649,SN_DLSOr1
1319657,SN_DLSO1.0_1r
1319704,IN 1319705
1319881,IN 1319882
1320159,IN 1320160
1320798,SN immature
1320921,INdesc_l 1320922
1320938,IN negativeUturn1320939
1321336,IN-ipsi-asc_ventralcb_r 1321337
1321475,INMC3_r
1321532,INdecuss_l 1321532
1321665,INpro_r4
1321672,INcross_r4
1321713,MNheadV_l1
1322276,SN 1322277
1322525,IN 1322526
1322586,IN 1322587
1322639,SN 1322640
1322645,SN 1322646
1323208,SN 1323209
1323310,SNpyg 1323311
1323338,SN 1323339
1323402,SN 1323403
1323621,MNob-ipsi_sg3r
1323687,pnb 1323688
1323773,INipsidesc_sg2l
1323828,IN 1323829
1323882,INcommasc_sg3r 1323883
1323988,EC_V_sg3r rad glia 1323989
1324060,IN 1324061
1324107,INsplit_sg3r 1324108
1324309,SNant 1324310
1324518,pygCirrusPBc12
1324546,antPUc6l
1324587,antPUc7l
1324600,pygCirrusCR3r
1325272,IN 1325273
1325454,IN 1325455
1325621,SNpalp 1325622
1325625,SNpalp 1325626
1325633,SNpalp 1325634
1325682,SN HC 1325683
1325700,SN HC 1325701
1325812,INr VLSO target1325813
1325843,SNr 1325844
1325883,SNr 1325884
1326008,IN 1326009
1326149,SNpalp 1326150
1326689,SN r 1326587 
1326921,SN 1326922
1327020,SNant 1327021
1327186,SN 1327187
1327607,SN_DLSO1.2_1r
1327767,SN_DLSO1.3_3r
1327935,CB_pigment 1327936
1328001,paratroch_III_vr_3; telotroch_vr_3
1328126,INsplit_sg1l 1328127
1328429,SNant 1328430
1328477,INdecus-desc_l 1328478sg1
1328483,INsplit_sg1l 1328484
1328673,INr 1328674
1328714,SN_DLSOr4
1328854,INR1_r1
1329166,INsplit_sg2l 1329167
1329204,SNimmature 1329205
1329247,IN 1329248
1329299,INsplitPUh_r2
1329398,SNant 1329399
1329666,SNant 1329667
1329884,IN-1329885
1329930,INcosplit_sg2l2
1329970,INcross_r2
1330168,SN 1330169
1330333,IN 1330334
1330509,SNmus_r
1330831,INlat2_r
1330878,IN 1330879
1331032,INlassoRGWa_r2
1331191,SNant 1331192
1331433,IN 1331434
1331507,SN_LHSO2_3r1
1331806,IN 1331807
1332248,INhead_r 1332248
1332260,INhead_r 1332261
1332314,INlat1_r
1332367,SN_LHSO2_3r2
1332389,INhead_r 1332390
1332516,SN_DSO1
1332688,SNhead_r 1332689
1332711,IN 1332712
1332791,IN 1332792
1333136,Spinning gland stalk cell; luqinpos 1333137
1333158,SNhorn_r
1333311,MNspinning_sg2r
1333316,spinGland_sg3l
1333389,IN 1333390
1333449,IN 1333450
1333515,spinGland_sg3r
1333529,MNspinning_sg2l
1333597,spinGland_sg2r
1333656,spinGland_sg2l
1333780,IN r 1333781
1333887,INcross_l3
1334138,IN 1334139
1334234,INmus_l
1334543,INhead_r 1334544
1335104,CB_pigment 1335105
1335430,IN 1335431
1335507,INSturn_r
1335597,SN 1335598
1335645,INhead_l 1335646
1335727,IN 1335728
1335777,pygCirrusPBc13
1335790,UnicilNonP_SNpost 1335791
1335832,SNpyg_l 1335833
1335845,SNpyg 1335846_putPU
1336299,spinPU1_sg2l
1336321,INUturn_r
1336580,ciliatedGland_l1
1336723,SNMIP-vcl
1337005,IN 1337006
1337238,INmidL_l2
1337258,INPDF-lcl1
1337294,INZ_l3
1337354,INhead_l 1337355
1337798,dorsalTeloPB1r
1337804,dorsalTelo_PUc1r
1338017,INbiaxDors_sg1l 1338018
1338468,INdecussfoot_l
1338735,ventraltrunkPB1_sg2r_PKD2-1+
1338884,INcosplit_sg2l 1338884
1338917,MNhose_sg1l1
1339008,MNcross_sg2l2
1339023,INcommdescFVa_sg2r
1339088,notopodPUc1_sg3l
1339180,INsplit_sg3l 1339153
1339377,INbackcross1_l
1339453,INipsidesc_sg1r 1339454
1339469,pnb 1339470
1339608,INdecusshook_l
1339663,MUSlong_D_sg0l_10
1339712,MUSlong_D_sg0l_11
1339741,MUStrans_sg1l_5
1339753,MUSob-ant_l-pp_sg1l_1
1340285,EC 1340286
1340303,pnb 1340304
1340398,INipsiasc_sg1r
1340501,INsplitPB_sg2r2
1340647,INhead_r 1340648
1340703,INr 1340704
1340805,INpro_l5
1340899,INipsiascFVa_sg3r2
1341140,INperiasc_sg3r 1341141
1341302,IN trunk 1341303
1341318,VNCneuron 1341319
1341740,MNakro_r
1342071,IN 1342072
1342141,INl 1342142
1342498,EC pigment 1342499
1342632,IN 854300
1342725,SNpygM_r
1342819,SNpalp 1342820
1342836,pigment_cell_AEr2
1342945,IN 1342946
1342970,SN 1342971
1342975,SNtrpa 1342976
1342991,nuchal_dr2; cc_dr_2
1343003,nuchal_dr3; cc_dr_3
1343040,MUSob-post_neuV_sg3l_3
1343057,devMUS
1343244,MNVNC_sg3r 1343036
1343346,IN 1343347
1343467,INdecusshook_r
1343962,IN 1343963
1344059,IN
1344084,IN 1344085
1344565,pygCirrusPU3r
1344599,pygCirrusPU5r
1345150,INl 1345151
1345237,INhead_r 1345238
1345260,IN 1371890
1345337,MNVNC_1A_sg2r
1345461,INdecussfoot_r
1345703,INlasso_postSN_l1
1345862,SNstiff_sg0l2
1345866,INipsiasc_sg1l 1345867
1345899,EC_D_sg3l back middle
1346138,INangle_l 1346139
1346179,IN 1346180
1346362,INhead_r 1346363
1346663,IN 1346664
1346759,dsoCR4l
1346858,IN 1346859
1347179,EC_V_pygl 1347180
1347222,pygidial_pigment_cell  1347223
1347263,pygCirrusPU7r
1347407,INsplitHairy_sg2l1
1347511,pygidial_pigment_cell 1347511
1347815,INcommasc_sg1l 1347816
1347891,IN weird 1347892
1348081,SNocc2r
1348199,INloop 1348200
1348484,MNcrab_sg2r1
1348569,MUSlong_D_sg0l_5
1348581,MUSlong_D_sg2l_6
1348615,ciliatedGland_r4
1348622,ciliatedGland_l3
1348649,ventraltrunkPB1_sg1l
1348661,ventraltrunkPU1_sg1l; SN
1348770,ventraltrunkPB1_sg1r
1348968,hCirrusCR2r
1349004,ventralTeloPB1r
1349009,ventralTeloPUc2r
1349023,spinPB1_sg3r
1349034,VentralpygCR3r
1349040,interparapodCR1_sg3l
1349051,spinPB1_sg3l
1349072,dorsalParaPB1_sg1l
1349077,dorsalParaPUc1_sg1l
1349113,hCirrusCR1r
1349386,pygCirrusPBc1l
1349434,SNpyg 1349435
1349820,INW_l2
1349857,INhead_l 1349858
1349942,interparaPM1_sg1l
1349949,interparapodCR1_sg1l
1350126,IN 1350127
1350197,IN 1350198
1350368,metatrochNPU1r; SN
1350394,VNC_sg1r 1350395
1350479,IN 1350480
1350839,spinPU2_sg2l
1351071,SNpyg 1351072
1351221,INbiaxonCR_sg1l  
1351280,INsplitCR_sg2l1 
1351307,INsplitCR_sg1l5
1351385,IN 1351386
1351518,IN 1351519
1351559,meso 1351560
1352396,MUSob-post_sg0l_1
1352604,MUSob-post_sg0l_2
1352910,pnb 1771413
1353303,INcomm_sg3r  
1353433,INipsiasc_dorsalcellbo_r_1353434sg1
1354209,INipsiasc_sg2l 1354210
1354390,INlasso_l2
1354406,INlat1_l
1354525,INhead_r 1354526
1354532,SNpyg 1354533
1354628,IN 1354629
1354681,INhead_l 1354682
1354776,INhead_r 1354777
1354874,IN 1354875
1354979,INsplitCR_PDF_sg1l2
1355081,MNmouth_sg2r
1355223,INipsiasc_Latcb_r 1355224
1355372,MNant_l
1355728,INcommasc_sg1l 1355728
1355911,SNr 1355912 
1356092,IN 1356093
1356178,INcommdesc_sg2l 1356178
1356253,INhorn_l
1356560,IN 1356561
1356793,MUSlong_D_sg2l_7
1356912,MUSlong_V_headr3
1356971,INdesc_r 1342039
1356982,ventraltrunkPU1_sg1r
1357166,INperiasc_sg1r 1357167
1357597,INcomm-Upcross_sg2r4
1357861,MUSlong_V_sg2r_2
1357867,MUSlong_V_sg1r_4
1358740,INZ_r3
1358976,MUSpr-vt
1359237,INUturn_l
1359694,INhead_r 1359695
1359787,IN_sg0l 1359788
1359971,INhead_r 1359972
1359987,IN 1359988
1360179,INmidL_l1
1360557,INhead 1360558
1360565,interparaPM1_sg2r
1360579,neuropodPUc1_sg1l
1360843,ventraltrunkPB1_sg3l_PKD2-1+
1360893,ventralParaPB1_sg2l
1360967,SN_immature_pyg
1361034,glia 1361035
1361146,ventralParaPU1_sg1r
1361174,ventralParaPU1_sg1l
1361208,ventralTeloPUc1r
1361224,ventralTeloPB1l
1361264,ventralpygPU1unp
1361317,INSturn_l
1361412,ventralTeloPB2l
1361468,ventralParaPU2_sg1l
1361481,ventralParaPB1_sg1l
1361489,ventralParaPU2_sg1r
1361497,ventralParaPB1_sg1r
1361575,IN 1361576
1361897,SN 1361898
1361951,IN 1361952
1362300,INcommasc_sg3l 1293982
1363312,IN 1363313
1363316,IN 1363317
1363796,chaeMech_sg1l1
1363909,InterparaGland_sg2l
1363985,IN 1363986
1364158,INsplitPB_sg3l1
1364226,MNpostacic_sg1r1
1364315,MNring_sg1r5
1364445,INsplitPBsg1l1
1364517,ventralCirrusPBc1_pygl
1364539,SNocc2l
1364769,dsoPU2unp
1364988,INVNC_sg2r 1364989
1365232,INsplitBronto_sg1l
1365661,INMC3_l
1366160,INipsiasc_pygr 1366161
1366261,EC_D_sg2r 1366262
1366275,pygCirrusCR1r
1366501,INsplitPB_sg2l5
1366510,INbiaxLeg_sg2l1  
1366839,MNVNC wave 1366840
1367230,pnb 1367231
1367387,hPU2l_asymPDF
1367741,INZ_l1
1367776,SNl 1367777
1367987,MUSlong_V_sg3r_4
1368008,MUSlong_V_headr2
1368019,MUSlong_V_sg3l_4
1368030,MUSlong_V_sg3l_5
1368040,MUSlong_D_sg0l_1
1368417,MUSlong_V_sg2l_10
1369462,INr 1369463
1370203,SN_sg3r 1370204
1370473,IN 1370474
1370693,INipsiasc_sg0r 1370694
1371619,INfoot_r2
1371847,INdecuss_r 1371848
1371922,INbackcross1_r
1372018,IN 1372019
1372056,SN_sg0l
1372330,SN 1372331
1372363,INipsiasc_sg3r 1372364
1372593,INr 1372594
1372597,immatureSNr 1372598
1372913,MNob-ipsi_sg2l
1373064,IN 1373065
1373224,VNCciliomotor_sg3r 1373225
1374124,SNpalp 1374125
1374369,SN_DSO7
1374462,SNl 1374463
1374480,SNbicilDhead_l
1374514,SNl 1374515 
1374631,SNl 1374632
1375370,IN 1375371
1376077,IN 1376078
1376350,INcommasc_sg1r 1376351
1376459,INcosplit_sg1r 1376460
1377175,ventralpostParaPUc1_sg1l
1377191,interparaPU1_sg1l
1377198,interparaPU1_sg2r
1377274,INh_l
1377483,MNcosplitN3r
1377662,ciliatedGland_l8
1377866,SN_LHSO2goldenrgolden_r
1378190,INipsidesc_sg1r 1378190
1378319,pnb 1378320
1378781,IN 1378782
1378941,MUSob-post_neuV_sg2r_1
1379511,INcosplit_sg2r 1379512
1379902,VNCneuron 1379903
1379998,INcomm_sg2l 1379999
1380067,INcomm_sg2r 1380068
1380118,INVNC_sg2 1380119
1380150,INcommdesc_sg1r 1380151
1380543,INipsiasc_sg3r 1172370
1380795,MUSob-ant_m-pp_sg3r_2
1380806,MUSob-ant_re_sg3r_7
1380817,MUSax_sg2r_1
1380835,MUSob-ant_m-pp_sg3r_1
1380843,MUSax_sg1r_4
1380855,MUSob-ant_re_sg3l_8
1380863,MUSax_sg2l_1
1380874,MUSax_sg3l_1
1380884,MUSax_sg3r_1
1380903,INstarFVa_sg3l 1380904
1381077,MUSob-post_notV_sg2r_2
1381112,MUSob-post_noty_sg2r_1
1381127,chaeMech_sg3l1
1381501,INipsidesc_sg2l 1381502
1381527,VNC_sg3r 1381528
1381575,INipsiasc_sg3r 1381576
1381662,MNche_sg2l2
1381820,IN 1381821
1381871,MUSob-ant_m-pp_sg3l_2
1381884,MUSac_neuDach_sg3l_1
1381896,MUSob-ant_m-pp_sg3l_1
1381906,MUSax_sg1l_4
1381916,MUSax_sg1l_3
1381926,MUSob-ant_m-pp_sg1l_1
1381937,MUSob-ant_re_sg1l_6
1381952,MUSob-post_notV_sg2r_1
1381985,MUSob-post_neuV_sg2r_3
1382194,INsplit_sg2l 1382195
1382545,MUSob-ant_trans_sg3l_1
1382622,MUSob-ant_m-pp_sg3l_3
1382729,MNacicX_sg2r
1382859,INcosplit_sg3l
1382871,INcosplit_sg2l 1382872
1382959,chaeMech_sg3r2
1382978,chaeMech_sg3r1
1383001,MNche_sg3r1
1383171,INbiaxLeg_sg2r1
1383209,VNC 1383210
1383418,MNspider-ant_sg3l1
1383587,INsplit_sg2r 1383588
1383600,INsplit_sg2r 1383601
1383699,INcommasc_sg3l 1383700
1383723,INVNC_sg3r 1383724
1383745,pnb 1383746
1383778,EC_V_sg3r rad glia 1383779
1383962,MNperif_sg3l 1383963
1383986,chaeMech_sg3l2
1384013,MNche_sg3l2
1384140,IN 1384141
1384593,INipsi-short_l 1384594
1385497,INdecus-short_r 1385498_sg3
1385530,EC_V_pygl 1385531
1385536,pygidial_pigment_cell  1385537
1385542,EC 1385543
1385968,INipsiasc_pygl 1385969
1386139,INcomm-DownL_sg2l1
1386177,SNPDF_pygl
1386275,INsplit_sg3r 1386276
1386336,INsplit_sg3l 1386337
1386539,ventralpostParaPUc1_sg2l
1386544,INcommDesc_sg3 1386545
1386659,INipsiasc_sg3l1 1386659
1386950,INcommdesc_sg3r 1386951
1387104,INasc_pygl1
1387208,support cell for mscle 1387209
1387435,MNhose_sg3r1
1387465,chaeMech_sg3l4
1387474,INsplitCR_sg1l3 
1387530,MNarm_sg3l1
1387597,flat glia 1387598
1387613,MNgland_head_r
1387674,IN 1387675
1387718,EC 1387719
1388085,support cell for mscle 1388086
1388614,spinPU2_sg3l
1388649,spinPB2_sg3l
1388660,spinPU3_sg3l
1388788,INipsiasc_sg3r 1388789
1388929,MUSlong_V_headr0
1389371,INipsiasc_sg3l 1389372
1390047,INsplitPB_sg3l3
1390541,INsplitVent_sg2l
1390740,spinPU2_sg3r
1390749,spinPB2_sg3r
1390849,INcommasc_sg3r 1390850
1391139,MUSlong_V_sg3l_7
1391222,MNhose_sg3l1
1391234,MNwave_sg3l1
1391500,INcomm_sg1l 1391501
1391561,INperiasc_sg1l 1391562
1391584,MNsmile_sg1l4
1391602,SN_l 1391603
1391745,MUSax_sg1l_2
1391754,MUSob-ant_m-pp_sg2l_1
1391991,INcommasc_sg1r 1391992
1392036,MUSob-post_notV_sg3r_2
1392050,MUSob-post_neuV_sg3r_3
1392132,MUSob-post_noty_sg3l_1
1392152,MUSob-post_notV_sg3l_1
1392171,MUSob-post_notV_sg3l_2
1392209,MUSob-post_neuV_sg3l_1
1392216,MUStrans_pygl_1
1392222,MUStrans_pygl_2
1392567,MUSob-post_neuV_sg3l_2
1392742,EC 1392743
1392754,MUSob-post_neuV_sg3l_5
1392926,MNVNC_sg3l 1443617
1392932,INsplit_sg2r 1392933
1392970,MNring_sg3l2
1393034,INcomm_sg3l 1393035
1393083,INcomm_sg3r 1393084
1393089,very unlikely glia_sg3r 1393090
1393284,MUSob-ant_re_sg3r_5
1393309,MUSchae_neuDac_sg3r_4
1393334,MUSchae_neuDac_sg3r_2
1393552,INcommasc_sg2r 1393553
1393787,INcommasc_sg3l 1393788
1393903,MUSlong_V_sg3r_1
1393942,INcomm-UpL_sg3l1
1393960,MUSob-ant_re_sg3r_6
1394281,dorsalParaPUc1_sg2l
1394395,EC_V_sg2l 1394396
1394518,MUSob-post_neuV_sg2l_7
1394792,spinPB3_sg2l
1394876,INpreMNob 1394877
1394905,MNspider-post_sg2l2
1394963,MNmouth_sg2l
1395094,INcommasc_sg3r 1395094
1395556,MNspider-ant_sg2l1
1395614,MUSob-ant_arc_sg2r_2
1395647,MNring_sg2l1
1395664,MUSlong_V_sg1r_2
1395670,MUSlong_V_sg1r_1
1395692,MUSlong_V_sg1r_3
1395717,MUSlong_V_sg1r_6
1395731,MUSlong_V_sg1r_7
1395840,INipsiasc_sg2l 1395840
1395919,INcomm_sg1l 1395920
1395980,MNsmile_sg1l3
1396068,INshort-asc_l_vnc_l_immature? 1396069
1396320,INcommasc_sg2r 1396320
1396335,MNsmile_sg1r2
1396374,INcommasc_sg1r 1396375 
1396596,MNring_sg3l3
1396714,MUSob-post_neuV_sg1l_2
1396739,MUSob-post_neuV_sg1l_5
1396754,INipsiasc_sg3l 1396755
1396762,MUSob-post_neuV_sg1l_4
1396790,INcommasc_sg3l 1396791
1396899,MUSob-post_noty_sg3r_1
1396918,MUSob-post_notV_sg3r_1
1397020,pnb 1397021
1397111,SN 1397112
1397285,INcommasc_sg3r 1397286
1397326,INcommasc_sg3r 1397327
1397340,IN VNC 1397341
1397346,INipsidesc_sg3l 1397347
1397352,INipsidesc_sg2l 1397353
1397627,INcomm_sg3l 1397628
1397639,INcommasc_sg3r 1397640
1397746,MUSob-ant_arc_sg2l_3
1397762,MUSob-ant_arc_sg2l_4
1397815,MUSac_notM_sg1l_2
1397887,INipsidesc_sg1l 1397888
1398573,INdesc_r 1398574
1398602,IN 1398603
1398637,MNVNC 1398638
1398649,MNwave_sg2l3
1398775,MUSac_neuDach_sg2l_1
1399394,MNwave_sg2l1
1399532,EC_V_sg2l_armpit 1399533
1399590,MNantacic_sg2r2
1399726,EC_D_sg2l 1399727
1399974,MUSob-ant_l-pp_sg2l_2
1400126,INcosplit_sg3r
1400382,INsplitCRATO_sg3r
1400535,INipsiasc_sg3r 1400536
1400756,INchaeMech_sg3l
1401122,INcommasc_sg3l 1401123
1401321,MN_oblique_sg3r2
1402559,SN_DLSO1.3_3l
1402729,SN 1402730
1402736,IN 1402737
1403034,MUSchae_neuDac_sg3r_1
1403048,MUSchae_neuDac_sg3r_3
1403093,MUSob-post_neuV_sg3r_1
1403114,MUSob-ant_re_sg3r_3
1403261,INipsidesc_sg1r 1403262
1403298,MUSob-ant_arc_sg3r_3
1403308,MUSob-ant_re_sg3r_4
1403336,MUSob-post_neuV_sg2r_2
1403448,INcosplit 1403449
1403656,MNwave_sg2l2
1404083,INsplit_sg3r 1404084
1404314,MUSob-post_sg0r_1
1404341,MUStrans_sg0r_5
1404358,MUSax_sg1r_2
1404375,MVGland_r1
1404382,MVGland_l1
1404388,MUSax_sg1r_3
1404400,MUSax_sg1r_1
1404405,MUSax_sg1l_1
1404567,INleucoPU_sg1l
1404985,INipsiasc_sg3r 1404986
1405233,MUSch_l_2
1405261,MUStrans_sg0l_1
1405294,MUSch_l_1
1405336,MUSlong_V_sg0l_2
1405399,INipsidesc_sg1r 1405400
1405726,INsplit_sg2l 1405727
1405840,INcosplit_sg2r 1405840
1406349,SN 1406350
1406825,INintl3
1407163,INcommdesc_sg1r 1407164
1407366,EC_V_sg2r rad glia 1407367
1407835,MN_oblique_sg3l3
1407854,INipsiasc_sg3r 1378972
1407883,INcomm_sg2l 1407884
1407937,MNVNC 1407938
1408038,INipsidesc_sg1r 1408039
1408570,MUStrans_pygr_1
1408589,supportcell 1408590
1408867,MNbiramous_sg3l1
1408946,ER_circumchaetal_sg3r_noto-1_3
1408956,MUSchae_notAac_sg3r_3
1409181,MUSlong_V_headr6
1409196,MUStrans_sg0r_4
1409275,EC_V_heald 1409276
1409346,INimmature_r 1409347
1409372,MNring_sg2r 8
1409561,INipsiasc_sg3l 1409562
1409579,INcomm_sg3l 1409580
1409659,INcomm-Upstairs_pygr_immature2
1409671,INcomm-Upstairs_pygr2
1409695,EC_V_pygr 1409696
1409843,EC 1409844
1410263,VNC_sg3r2
1410274,MNipsiasc_sg3r 1410275
1410290,MNVNC_ips_sg2r 1776778
1410390,MNVNC_sg2l 1442397
1410728,INsplit_sg1l 1410729
1410776,INcommasc_sg3r 1410777
1411126,INcommdesc_sg3r 1411127
1411136,IN 1411137
1411256,IN 1411257
1411577,SN_LHSO2_1r
1411593,SN_LHSO2_2r
1411609,INvc 1411610
1411627,SN_DLSOl3
1411715,SN_NS27r
1411967,vacuolar_cell_head2
1412298,pnb 1412299
1412560,INsplitCR_sg2r4 
1412575,interparapodCR1_sg1r
1412914,INcomm_sg3l1
1412968,IN 1412969
1413524,flat glia 1413525
1413805,INcommasc_sg2r 1413806
1413973,VNCneuron 1413974
1414213,MNacicX_sg3ll
1414339,INipsiasc_sg3l 1414340
1414358,MUSob-ant_arc_sg3l_2
1414384,MUSob-ant_arc_sg3l_1
1415266,MNVNC 1415267
1415344,MNche_sg3l1
1415385,MUSchae_neuAVo_sg3l_3
1415436,INsplit_sg3l 1415437
1415473,MNche_sg3l3
1415508,neuropodPUc1_sg1r; SN
1415528,chaeMech_sg1r1
1415537,SN 1415538
1415836,VNCneuron 1415837
1416066,vacuolar_cell_head3
1416162,MUSlong_D_sg0r_8
1416180,MUSlong_D_sg1r_8
1416198,MUSlong_D_sg2r_5
1416227,MUSlong_D_sg3r_2
1416299,MUSlong_D_sg1l_10
1416309,MUSlong_D_sg1l_8
1416388,MUSac_neuDach_sg2r_1
1416399,MUSob-ant_m-pp_sg2r_1
1416416,MUSob-ant_arc_sg1r_2
1416450,MUSob-ant_arc_sg1r_1
1416465,MUSob-post_noty_sg1r_1
1416476,MUSob-post_notV_sg1r_3
1416527,INcomm-Upstair_sg3l1
1416546,MUSac_notP_sg1r_1
1416569,MUSchae_notA_sg2r_1
1416649,INcommdesc_sg3r 1416650
1416695,MUSlong_V_headl4
1416768,flat glia MNcrab 1416769
1417265,INcomm_sg3l 1417266
1417276,INcommasc_sg3r 1417277
1417531,EC_V_sg2r rad glia 1417532
1417545,neuropodPUc1_sg2r
1417675,INVNC 1417676
1417810,SNbronto_r
1418872,SN_14l
1418928,SN_YF5cil
1419051,EC_V_sg3r 1419052
1419056,SN_NS27l
1419083,MUSob-ant_arc_sg3r_2
1419152,SN_NS4
1419394,VNC_sg3l 1419395
1419586,EC_V_heald 1419587
1419639,INipsidesc_sg1l 1419640
1419666,MNdesc_sg1 1419667
1419787,SN 1419788
1420085,INcommasc_sg3l 1420086
1420237,INsplitCR_sg2r1 
1420278,IN 1420279
1420302,MNVNCax_sg3l 1420303
1420342,MUSob-ant_arc_sg3l_3
1420356,MUSob-ant_re_sg3l_2
1420398,MUSlong_V_headr5
1420415,MNsmile_sg1l2
1420440,MUSlong_V_sg3l_1
1420457,MUSac_notA_sg3l_1
1420472,MUSlong_D_sg3l_4
1420496,MUSlong_D_sg2l_4
1420504,MUSlong_D_sg2l_5
1420510,MUSlong_D_sg3l_3
1420523,MUSlong_D_sg2l_3
1420530,MUSlong_D_sg2r_3
1420539,MUSlong_D_sg2r_6
1420612,MUSlong_V_sg2r_4
1421064,INsplitPB_sg3r2
1421448,MUSob-post_notV_sg1l_3
1421503,INcommdesc_sg3r 1421504
1421566,MNVNC 1385476
1421680,MNVNC 1421681
1421687,MUSob-ant_arc_sg3r_1
1421700,EC_V_sg3r 1421701
1421731,IN 1421732
1421758,pnb 1421759
1421839,MNspider-post_sg3l2
1421893,INcommasc_sg2l 1421894
1422853,INsplit_sg3l 1422854
1422884,INcommasc_sg3l 1422885
1423090,IN 1423091
1423131,INsplit_sg3r 1423132
1423327,MUSlong_D_sg3r_3
1423994,EClm_sg3 1423995
1424455,VNCneuron 1424456
1424524,INcommasc_sg2l 1424525
1424853,INipsidesc_sg3l 1424854
1425033,INcross_r1
1425297,pnb 1425298
1425347,spinPB3_sg3r
1425621,INsplit_sg3r 1425622
1426413,IN 1426414
1426565,INipsidesc_sg1r 1426566
1426630,VNC_r 1426631
1426711,pnb 1426712
1426732,INhead 1426733
1427287,VNCneuron 1427288
1427617,INcommdesc_sg2r 1427618
1427703,VNC_sg1r 1427703
1427708,EC_V_sg3r rad glia 1427709
1427985,MUSob-ant_re_sg3l_7
1428521,IN 1428522
1428697,pnb 1428698
1429160,IN 1429161
1430233,INhead_r 1430234
1430426,INproATO_r3
1430491,INipsidesc_sg3l 1430492
1431290,INipsi-Lshape-asc_l 1431291
1431384,VNCimmat_sg3l
1431397,VNCneuron 1431398
1432357,MNax_sg2r
1432915,INpreLadder_sg3l
1432984,pnb 1432985
1433052,EC_V_sg3r 1433053
1433269,VNCFMRF_sg2l 1433270
1433397,MNsmile_sg1l6
1433418,INdecuss_r 1013576
1433691,VNCneuron 1433692
1433751,VNCneuron 1433752
1434136,meso 1434137
1434209,IN 1434210
1434598,MNring_pygr1
1434934,pygCell 1434935
1434961,chaeMech_sg3r4
1435058,INipsidesc_sg3r 1435059
1435078,supportmscle 1435079
1435256,MN_oblique_sg3l2
1435271,MUSob-ant_l-pp_sg3r_1
1435324,MNVNC 1435325
1435418,MNantelope_sg3l
1435436,MUSob-ant_re_sg3l_3
1435458,MUSob-ant_re_sg3l_4
1435540,INcomm_sg1 1435541
1435591,MNVNC 1435592
1436108,MNche_sg2l1
1436266,MUStrans_sg2r_1
1436290,MNVNC 1436291
1436321,MUSob-ant_arc_sg2l_2
1436454,IN 1436455
1436493,INcosplit_sg2r 1436494
1436506,INcosplit_sg2l 1436507
1436570,INbiaxHmid_sg2l
1436707,MUSob-ant_l-pp_sg3l_1
1436736,MUStrans_sg3l_7
1436859,pnb 1436860
1436895,INVNC_sg3r 1436896
1437030,INsplitPB_sg3r1
1437617,INsplitPDF_sg1l 1475456
1437768,pygidial_pigment_cell  1437769
1438343,INcomm-Upstair_sg3r1; RF/RYa
1438682,INsplit_sg2l 1438683
1438734,INipsiasc_sg1r 1438735
1438972,EC 1438973
1439007,EC 1439008
1439104,pnb 1439105
1439414,IN 1439415
1439840,SN_DLSO1.1_2r
1440433,EC_V_pygl 1440434
1440653,INsplit_sg3l 1383185
1440717,pnb 1440718
1440756,IN 1440757
1440768,EC_V_sg3r rad glia 1440769
1440816,IN 1440817
1441050,INipsiasc_sg2l 1441051
1441073,INsplit_sg2r 1441074
1441373,INipsiasc_sg2r 1441374
1441389,INsplit_sg2r 1441390
1441527,MUSchae_neuVob_sg3r_1
1441614,INipsiasc_sg2r 1441615
1441660,MNVNC_sg3 1441661
1441731,MUSob-post_neuV_sg2r_6
1441775,MNob_sg3r 1441776
1441779,EC 1441780
1441826,CB_pigment_sg3 1441827
1441872,MUSlong_D_sg1r_11
1442134,INsplit_sg3l 1442135
1442426,VNCneuron immature 1442427
1442435,INcomm 1442436
1442492,SN 1442493
1442572,MN 1442573
1442970,SN_gland_sg3r
1443411,chaeMech_sg1r2
1443735,INipsiasc_sg3r 1443736
1443798,MUStrans_sg3l_8
1443883,EC 1443884
1443976,MUSob-ant_trans_sg3l_2
1444039,MUSob-post_notV_sg2l_1
1444070,MUSob-post_notV_sg2l_2
1444493,EC_D_sg0r 1444494
1444674,INsplit_sg2r 1444675
1444805,pnb 1444806
1445167,VNC_sg2r 1445168
1445460,VNCcomm_sg3l; pair of MNob-contra_sg3r1 ????
1446136,INipsi-branchy_l1446137
1446191,INipsiasc_sg2r 1446192
1446351,pnb 1446352
1446384,flat glia 1446385
1446515,INasc-r 1446516
1446561,INcommasc__sg2l
1446695,EC 1446696
1447037,MNacic_sg3l
1447180,MNspider_sg3l3_immature
1447877,INipsidesc_sg1l 1447878
1447992,INipsiasc_sg2r 1447993
1448011,VNC_sg3r 1422174 
1448244,IN 1448245
1448388,EC_D_heald 1448389
1448858,INipsiasc_sg2r 1448859
1448906,EC_chaetal_sac_sg3l_neuro_2
1449234,IN 1449235
1449339,INdecuss_r 1449340
1449610,SN_sg3r 1449611
1449903,INsplit_sg1r 1449904
1450345,MUSac_notP_sg3r_1
1450492,MUSac_neuDx_sg3r_2
1450597,IN 1450598
1450610,INcommasc_sg3r 1450610
1450796,INipsiasc_sg2r 1454390
1452159,INipsiasc_sg1r 1452160
1452348,glia 1452349
1452687,MNob_sg2r 1452688
1453008,IN 1453009
1453547,INsplit_sg1r 1453548
1453675,InterparaGland_sg3r
1453826,support cell 1453827
1454628,INipsiasc_sg2r 1454629
1454752,MUSob-post_neuV_sg2l_2
